south	male	union	hisp	black	income01	tpid
0	1	0	0	0	.3333333	2
0	1	0	0	0	.7407407	0
1	0	0	1	0	.1111111	0
1	1	1	0	0	.037037	0
1	0	0	0	1	.5185185	0
1	1	0	0	0	.6666667	0
1	0	0	0	0	.0740741	2
1	0	0	0	0	.6666667	2
1	0	0	1	0	.4082612	2
1	0	0	0	1	0	1
1	0	0	0	0	.1111111	2
1	1	0	0	0	0	2
1	0	0	0	0	.0740741	0
1	1	0	0	0	0	1
1	1	0	0	0	0	0
1	1	0	0	0	.2222222	2
1	1	0	0	0	.2962963	0
1	0	0	0	0	.6666667	2
1	1	0	0	0	.2592593	0
1	1	0	0	0	.7037037	1
1	0	1	0	0	.2712199	1
1	1	0	0	1	0	0
1	0	0	0	0	0	2
1	0	0	0	0	.5925926	0
1	1	1	0	0	.9259259	2
1	1	0	0	0	.7777778	2
1	0	1	0	0	.5925926	0
1	0	0	0	0	.2962963	0
1	1	0	0	0	0	0
1	0	0	0	0	.7777778	1
1	0	0	0	0	.8148148	2
1	0	0	0	0	.3778821	2
1	0	0	0	0	.7777778	1
1	1	0	0	0	.526691	0
1	0	0	0	0	0	2
1	0	0	0	0	.037037	2
0	0	0	0	0	.8888889	0
0	1	0	0	0	.7037037	2
0	1	1	0	0	.8888889	0
0	0	0	0	0	.2747706	2
0	1	0	0	0	.6296296	2
0	0	0	0	0	.962963	0
0	1	0	0	0	.3703704	0
0	1	0	0	0	.1481481	0
0	1	0	0	0	.037037	0
0	1	0	0	0	.9259259	2
0	1	0	0	0	.8148148	1
0	0	0	0	0	.3703704	1
0	1	0	0	0	.6666667	2
0	1	0	0	0	.8518519	0
0	1	0	0	1	0	0
0	0	0	0	0	.4814815	0
0	1	0	0	0	.6666667	0
0	1	0	0	0	.6296296	0
0	0	0	0	0	.7777778	0
0	1	1	0	0	.3703704	0
0	0	0	0	0	.5925926	0
0	0	0	0	0	.0740741	1
0	0	1	0	0	0	0
0	0	0	0	0	.4444444	1
0	0	0	0	0	.0740741	0
0	1	0	0	0	.4814815	0
0	0	0	0	0	.5555556	2
0	0	0	0	0	.6666667	2
0	0	0	0	0	.4951962	0
0	0	0	0	0	.1481481	2
0	1	0	0	0	.8148148	0
0	1	0	0	0	.6296296	0
0	0	0	0	0	.8518519	0
0	0	0	0	0	.7407407	2
0	0	0	0	0	.037037	2
0	0	0	1	0	.1111111	0
0	0	0	0	0	.5925926	0
0	0	0	0	0	.6018584	1
0	1	0	0	0	.5185185	2
0	1	0	0	0	.5555556	0
0	1	0	1	0	.1481481	0
0	0	1	0	0	.5925926	2
0	0	0	0	0	.1481481	2
0	1	0	0	0	.1851852	0
0	1	0	0	0	.4074074	0
0	1	1	0	0	.8148148	0
0	1	0	0	0	.5337924	0
0	1	0	0	0	.5185185	0
0	0	0	0	0	.3703704	2
0	0	0	0	0	.7037037	0
0	1	0	0	0	.7407407	2
0	1	0	0	0	.1851852	0
0	0	1	0	0	.6666667	2
0	1	0	0	0	.9259259	2
0	0	0	0	0	.4444444	2
0	1	0	0	0	.6666667	0
0	0	1	0	0	.5555556	0
0	0	0	0	0	0	0
0	0	0	0	0	.8888889	2
0	1	0	0	0	.5925926	2
0	1	0	0	0	.5925926	1
0	0	0	0	0	.7037037	2
0	1	0	0	0	.4074074	1
0	1	0	0	0	.2222222	2
0	0	1	0	0	.8888889	0
0	1	0	0	1	.400473	0
0	0	0	0	0	.5185185	0
0	1	0	0	0	.5925926	0
0	1	0	0	0	.0740741	0
0	0	0	0	0	.5925926	2
0	0	0	1	0	.2222222	0
0	0	0	1	0	.2533467	0
0	0	0	1	0	.2592593	2
0	1	0	0	1	.2592593	2
0	0	0	1	0	.4444444	0
0	0	0	1	0	0	0
0	1	0	1	0	.3703704	2
0	1	1	1	0	.4575093	0
0	1	0	1	0	.7407407	0
0	1	0	0	0	.5185185	0
0	0	1	0	1	.4444444	1
0	0	0	0	1	0	0
0	0	0	0	0	.4845442	0
0	0	1	0	0	.3333333	0
0	1	1	0	0	.5925926	0
0	0	1	1	0	.2222222	0
0	0	0	0	0	.4738922	2
0	0	0	0	0	.8148148	2
1	1	0	0	0	.0740741	2
1	1	0	0	0	.4444444	1
1	1	1	0	1	.2880513	0
1	1	0	0	0	.4074074	0
1	1	0	0	0	.5925926	2
1	1	0	0	0	0	1
1	0	0	0	0	.037037	1
1	1	0	0	0	.2962963	0
1	0	0	0	0	.5555556	2
1	0	0	0	0	.037037	0
1	1	0	0	1	.1481481	0
1	1	0	0	0	.8148148	0
1	1	0	0	0	.9259259	0
1	0	0	0	0	.0740741	0
1	0	0	0	0	.7777778	0
1	1	0	0	0	.4444444	2
1	1	0	0	0	.5925926	0
1	0	0	0	0	.8888889	0
1	0	0	0	0	.8888889	0
1	1	0	0	0	1	0
0	0	1	0	0	.388534	2
0	0	1	0	0	.7037037	0
0	0	0	0	0	.5925926	2
0	0	0	0	0	.6666667	0
0	1	1	0	0	.5195897	1
0	0	1	0	0	.4074074	0
0	0	0	0	0	.5925926	2
0	1	0	0	0	.3703704	0
0	0	0	0	1	.3333333	0
1	1	0	0	0	.4036842	0
1	0	0	0	0	.4074074	0
1	1	0	0	1	.2880513	0
1	0	0	0	0	0	0
1	1	0	0	0	.1481481	2
1	0	0	0	0	.2592593	2
1	1	0	0	0	.4814815	0
0	0	0	0	1	0	0
0	0	0	0	0	.4444444	0
0	0	0	0	1	.037037	0
0	1	0	0	1	.0740741	0
0	0	0	0	1	.037037	0
0	0	0	0	1	.3583262	0
0	0	0	0	1	.1481481	0
0	0	0	0	1	.4074074	0
0	0	0	0	0	.5770038	2
0	1	0	0	0	.037037	0
0	1	0	0	0	.5185185	2
0	0	1	0	0	.4074074	0
0	0	0	0	0	.037037	0
0	0	0	0	0	.3333333	0
0	1	0	0	0	.4814815	2
0	1	1	0	0	.5555556	2
0	1	0	0	0	.2962963	2
0	1	0	0	0	.7037037	2
0	0	0	0	0	.7407407	2
0	1	1	0	0	.962963	0
0	1	0	0	0	.6666667	1
0	0	0	0	0	.8518519	0
0	1	0	0	0	.8518519	0
0	1	1	0	0	.5185185	0
0	1	1	0	0	.9259259	0
0	0	0	0	0	.7407407	0
0	0	0	0	0	.3703704	1
0	1	1	0	0	.8888889	2
0	1	0	1	0	.3335268	1
0	0	1	0	0	.5925926	1
0	1	1	0	0	.4444444	2
0	0	0	0	0	.2962963	0
0	1	0	0	0	.537343	2
0	0	0	0	0	.2592593	1
0	1	0	0	0	.7037037	2
0	0	0	0	0	.2962963	2
0	1	0	0	0	.8518519	2
0	1	1	0	0	.2222222	1
0	0	0	0	0	.5555556	2
0	0	0	0	0	.0740741	2
0	0	0	0	0	.0740741	0
0	1	0	0	0	.037037	1
0	0	0	0	0	.2222222	0
0	0	0	1	0	.2592593	0
0	1	0	0	0	.0740741	0
0	0	0	0	0	.2222222	2
0	1	0	0	0	.2592593	0
0	0	0	0	0	.7407407	2
0	0	0	0	0	.2222222	0
0	1	0	0	0	.962963	0
0	1	0	0	0	.7407407	0
0	1	0	0	0	.2962963	2
0	1	0	0	0	.8148148	1
0	0	0	1	0	.4732912	0
0	0	0	0	0	.3703704	1
0	1	1	0	0	.5231404	2
0	0	0	0	0	.6666667	0
1	0	0	0	1	0	0
1	0	0	0	0	.3778821	2
1	1	0	0	0	.5185185	2
1	1	0	0	0	.4074074	0
1	1	0	0	1	.1481481	0
1	1	0	0	0	.2913294	0
1	1	1	0	0	.0740741	2
1	1	0	0	0	.2877787	2
1	0	0	0	1	.037037	0
1	1	0	0	0	0	1
1	0	0	0	0	.037037	0
1	1	1	0	0	.7549514	2
1	1	0	0	0	.0740741	2
1	1	0	0	0	.4249882	2
1	0	0	0	0	.0740741	0
1	0	0	0	0	.037037	0
1	0	0	0	0	0	1
1	0	0	0	0	.2222222	1
1	1	0	0	0	.316184	2
1	0	0	0	0	.2925239	1
1	0	0	0	0	.7407407	1
1	1	0	0	0	.6212926	0
1	0	0	0	0	.0740741	2
1	1	0	0	0	.5185185	2
1	0	0	0	0	.7407407	0
1	1	0	1	0	.2521522	0
1	1	0	0	0	.2222222	0
1	1	0	1	0	.7777778	0
1	0	0	1	0	.3703704	1
1	0	0	1	0	.3325793	0
1	1	0	0	0	.8148148	2
0	0	0	0	0	.962963	0
0	1	0	0	0	.4444444	0
0	0	0	0	0	.7777778	1
0	1	0	0	0	.037037	2
0	0	0	0	0	.7037037	2
0	1	0	0	0	.5185185	2
0	0	0	0	0	.4596896	1
0	1	1	0	0	.6296296	0
1	1	0	0	0	.3703704	0
1	0	0	0	0	.4444444	2
1	0	1	0	0	.5925926	0
1	0	0	1	0	.1851852	0
1	0	0	0	0	.4596896	0
1	1	0	0	0	.5199059	0
1	0	0	0	0	.8148148	2
1	0	0	0	0	.2222222	2
1	1	0	0	0	.6666667	2
1	1	0	0	0	.037037	2
1	0	0	0	0	.4916456	2
1	0	0	0	0	0	2
1	0	0	0	0	.3703704	0
1	1	0	0	0	.8888889	2
1	0	0	0	0	.2222222	2
1	0	0	0	0	.3703704	0
1	0	0	0	0	.037037	0
1	0	0	0	0	.7407407	0
0	0	0	0	0	.3601288	0
0	1	1	1	0	.2962963	0
0	0	0	0	0	.2592593	2
0	0	0	0	0	.4444444	2
0	0	1	0	0	.3814327	2
0	1	0	0	0	.2592593	0
0	0	0	0	0	.1481481	0
0	0	0	0	0	.4444444	0
0	0	0	0	0	.2592593	2
0	0	0	0	0	.3703704	2
0	1	0	0	0	.7407407	0
0	0	0	0	0	.4074074	0
0	0	0	0	0	.1481481	0
0	1	0	0	0	.4117623	2
0	1	0	1	0	.3703704	0
0	1	0	0	0	.4814815	0
0	0	0	0	0	.2592593	0
0	1	0	0	0	.3703704	0
0	0	0	0	0	0	0
0	0	0	0	0	.037037	0
0	1	0	0	0	.5925926	2
0	0	0	1	0	.2355934	1
0	0	1	1	0	.3834066	0
0	1	1	0	0	.6177419	2
1	1	0	0	1	.037037	0
1	1	0	0	1	.0740741	0
1	0	0	0	1	.037037	0
1	1	0	0	1	.0740741	0
1	1	0	0	1	.1851852	0
1	0	0	0	1	.1626215	0
1	0	0	0	1	0	0
0	1	0	0	0	.8518519	2
0	1	0	1	0	.2486015	0
0	0	1	1	0	.4814815	0
0	1	0	1	0	.3335268	0
0	0	1	1	0	.3006233	2
