south	male	age01	unemp	union	income01	auth01	extrav01	agree01	consc01	stable01	openness01	econ01	educ1	educ2	educ3	educ4	educ5
1	1	.6666667	0	0	.2222222	.5	.6666667	.6666667	.75	.8333333	1	.3666667	0	0	1	0	0
1	0	.25	0	0	.8148148	.25	.4166667	.75	.8333333	.5833333	.4166667	.6	0	0	0	1	0
1	0	.8333333	0	0	.0740741	.625	.5833333	.75	.8333333	.8333333	.4166667	.5666667	0	1	0	0	0
1	1	.5833333	0	0	.5185185	.75	.8333333	.5833333	.9166667	.9166667	.9166667	.1	0	1	0	0	0
1	1	.1666667	0	0	.2222222	.25	.4166667	.5833333	.5	.5	.5	.9444444					
1	0	.8333333	0	0	.2962963	0	.5	.75	1	.6666667	.4166667	.5	0	0	0	0	1
1	1	1	0	0	.5925926	.75	.4166667	.5833333	.9166667	.5833333	.5833333	.7	0	0	1	0	0
1	1	1	0	0	.3703704	.75	.9166667	.5	1	.5	.9166667	.4333333	0	0	0	1	0
1	1	.75	0	0	.5185185	.5	.5	.5833333	1	.6666667	.8333333	.6333333	0	1	0	0	0
1	1	.9166667	0	0	.2222222	1	.4166667	.5833333	.6666667	.4166667	.75	.2333333	0	1	0	0	0
1	1	1	0	0	.4074074							.6666667	0	0	0	1	0
1	0	.5833333	0	0	.0740741	.25	.4166667	.8333333	.8333333	.8333333	.75	.6	0	0	1	0	0
1	0	.25	1	0	.4667909	.75	.6666667	.8333333	.4166667	.5	.8333333	.3333333	0	0	1	0	0
1	1	1	0	0	.7037037	0	.4166667	.8333333	.5	.5833333	.5	.7333333	0	0	0	0	1
1	0	.4166667	0	0	.5925926	.125	.75	.8333333	.9166667	.75	.6666667	.5	0	0	1	0	0
1	0	.4166667	0	0	.5770038	.5	.5	.8333333	1	.6666667	.6666667	.6	0	0	0	1	0
1	0	.3333333	0	0	.3703704	.75	.75	.5	1	.5833333	.8333333	.4666667	0	0	1	0	0
1	0	1	0	0	.2962963	.25	.75	.8333333	.6666667	.8333333	.8333333	.1666667	0	1	0	0	0
1	1	.25	0	0	.7777778	.5	.4166667	.4166667	.9166667	.4166667	.75	.3333333	0	1	0	0	0
1	1	.6666667	0	1	.7777778	.25	.8333333	.6666667	1	.9166667	.75	.5666667	0	0	0	1	0
1	1	.3333333	0	0	.4814815	.5	.9166667	.5833333	.5833333	.8333333	.75	.2	0	1	0	0	0
1	0	.3333333	0	0	.5185185	.25	1	.5833333	.8333333	.25	.75	.2666667	0	0	0	1	0
1	1	.4166667	0	0	.5555556	1	.6666667	.8333333	.6666667	.5833333	.4166667	.1333333	0	0	1	0	0
0	0	.25	0	0	.4814815	.75	.4166667	.8333333	.75	.6666667	.6666667	.2083333	0	0	1	0	0
0	0	.25	0	0	.4444444	.25	.4166667	.8333333	.5	1	.5833333	.2333333	0	0	0	1	0
0	0	.6666667	0	0	0	1	.4166667	.5833333	.5	.3333333	.5833333	.5	1	0	0	0	0
0	1	.75	0	0	.0740741	.5	.5	.4166667	.5	.3333333	.3333333	.7083333	0	1	0	0	0
0	0	.75	0	0	.2818719	.875	.5833333	.6666667	.8333333	.4166667	.3333333	.6	1	0	0	0	0
0	0	.5833333	0	0	.2222222	1	.3333333	.5833333	1	.1666667	.5	.6	0	0	1	0	0
0	0	.1666667	0	0	.2570173							.3333333	1	0	0	0	0
0	1	.9166667	0	1	.6666667	1	.5	.5	.9166667	.5	.5	.4583333	0	0	1	0	0
0	0	.4166667	0	0	.3703704	1	.5833333	.5	.75	.75	.6666667	.3333333	1	0	0	0	0
0	0	.25	0	1	.7407407	.5	.5833333	.6666667	1	.75	.8333333	.375	0	1	0	0	0
0	0	.9166667	0	0	.3920847	.5	.9166667	.5	.5833333	.1666667	.9166667	.3	0	1	0	0	0
0	1	.1666667	0	0	.6106406	.75						.5833333	0	0	0	1	0
0	1	.25	0	1	.7037037	.75	.75	.5	.5	.5	1	.1333333	0	0	1	0	0
0	0	.8333333	0	0	.4074074	.5	.1666667	.6666667	.9166667	.6666667	.5	.1333333	0	0	0	1	0
0	1	.3333333	0	1	.9259259	.5	.6666667	.75	.9166667	.9166667	.8333333	.0333333	0	0	0	1	0
0	1	.4166667	0	1	.8888889	.5	.75	.1666667	.5	.0833333	.75	.7	0	1	0	0	0
0	1	1	0	0	.3703704	.5	.75	.8333333	.6666667	.9166667	.6666667	.3333333	0	0	0	1	0
0	1		0	0	1	.5	.5833333	.5	.75	.4166667	.5	.2333333	0	0	0	1	0
0	0	.9166667	0	0	.4074074	.75	.5	.6666667	.8333333	.5833333	.8333333	.3666667	0	0	0	1	0
0	1	.6666667	0	0	1	.5	.8333333	.9166667	.8333333	.9166667	.9166667	.1333333	0	0	0	0	1
0	0	.6666667	0	0	.962963	.5	.75	.5833333	.5833333	.6666667	.5	.7333333	0	0	1	0	0
0	1	.75	0	0	.526691	.75	.5	.6666667	.75	.6666667	.5	.5	0	0	1	0	0
0	1	.0833333	0	0	.8888889	.375	.75	.8333333	1	.75	.9166667	.4	0	0	1	0	0
0	0	0	0	0	.4074074	.5	.5833333	.8333333	.5833333	.3333333	.5833333	.4	0	1	0	0	0
0	0	.5833333	0	0	.7037037	.25	.3333333	.5	.8333333	.5833333	.8333333	.2666667	0	0	0	1	0
0	1	1	0	0	.3703704	1	.5833333	.6666667	.75	.8333333	.6666667	.6666667	0	0	0	1	0
0	1	.6666667	0	0	.6319446	.5	.8333333	.8333333	.8333333	.6666667	.75	.6333333	0	0	0	1	0
0	0	.4166667	0	1	.7777778							.25	0	1	0	0	0
0	0	.5833333	0	0	.8148148	.5	.4166667	.6666667	.6666667	.5833333	.8333333	.4333333	0	0	1	0	0
0	1	.5833333	0	0	.8148148	0	.3333333	.8333333	.75	.8333333	.6666667	.2666667	0	1	0	0	0
0	1	.6666667	0	0	0	.5	.75	.9166667	.8333333	.8333333	.75	.4666667	0	0	0	1	0
0	1	.8333333	0	1	.4214375	.75	.5	.6666667	.75	.5833333	.5	.3333333	0	1	0	0	0
0	1	.5833333	0	1	.7777778	.75	.4166667	.5	.5	.5	.5	.1333333	0	0	0	1	0
0	0	.4166667	0	0	.962963	.75	.5	.6666667	1	.6666667	1	.3	0	1	0	0	0
0	0	.75	0	0	.2962963	.25	.5833333	.5833333	.5	.5	.5	.8333333	0	1	0	0	0
0	0	.5	0	0	.7407407	1	.9166667	.5833333	.6666667	.5	.6666667	.2	0	0	1	0	0
0	0	.25	0	0	.4444444	.75	.75	.5	.5833333	.6666667	.75	.5	0	0	0	1	0
0	1	.25	0	0	.5925926	.5	.3333333	.6666667	.5833333	.6666667	.8333333	.5	0	0	1	0	0
0	1	.6666667	0	0	.3333333	.75	.3333333	.6666667	.5833333	.3333333	.5	.4666667	0	1	0	0	0
0	1	.3333333	0	0	.7407407	.5	.5	.6666667	.9166667	.5833333	.6666667	.3888889	0	0	1	0	0
1	1	.0833333	0	1	.037037	.5	.4166667	.5833333	.5833333	.6666667	.6666667	.5	0	0	1	0	0
1	1	.5833333	0	0	.6666667	.25	.25	.5833333	.8333333	.75	.75	.5666667	0	0	0	0	1
1	0	.0833333	0	0	.0740741	.5	.5833333	.6666667	.9166667	.8333333	.5833333	.3	0	0	0	1	0
1	0	.25	0	0	.6666667							.6111111	0	0	0	0	1
1	0	.0833333	0	0	.1111111	.75	.5	.5	.5	.5	.5	.625	0	0	1	0	0
1	1	.4166667	0	0	0	.5	.5	.5	.3333333	.6666667	.4166667	.3333333	0	1	0	0	0
1	0	.0833333	0	0	.0740741	0	.9166667	1	.9166667	.9166667	.9166667	.8	0	0	1	0	0
1	1	.1666667	0	0	0	.25	.75	0	.75	.1666667	.8333333	.0333333	0	0	0	1	0
1	1	.0833333	0	0	0	.75	.75	.8333333	.5	.5	.8333333	.4333333	0	0	1	0	0
1	1	.1666667	0	0	.2222222	.75	.5	.9166667	.5833333	.8333333	.6666667	.1666667	0	0	0	0	1
1	1	.25	0	0	.2962963	.25	.1666667	.8333333	.75	.6666667	1	.8666667	0	0	0	0	1
1	0	.3333333	0	0	.6666667	.25	.5	.3333333	.5	.5	.5833333	.0666667	0	0	0	0	1
1	1	.25	0	0	.2592593	0	.5833333	.75	.6666667	.5	.9166667	.5	0	0	0	1	0
1	0	.0833333	1	0	0							.6111111	0	1	0	0	0
1	0	.5833333	0	0	.5925926	.5	.6666667	.6666667	.6666667	.6666667	.5	.5	0	0	1	0	0
1	1	.25	0	1	.9259259	.5	.5	.5833333	.9166667	.75	.5833333	.3333333	0	0	0	0	1
1	1	.9166667	0	0	.7777778	.25	.5	.75	.8333333	.9166667	.6666667	.2222222	0	0	0	0	1
1	0	.4166667	0	1	.5925926	.75	.9166667	.8333333	.75	.6666667	.5833333	.5666667	0	0	1	0	0
1	0	.5833333	0	0	.2962963	.5	.5	.5	.5	.5	.5	.4583333	0	1	0	0	0
1	1	.6666667	0	0	0	.75	.5	.8333333	.75	.8333333	.75	.3333333	0	0	1	0	0
1	0	.6666667	0	0	.7777778	.75	.4166667	.5	.5833333	.5	.5	.6666667	0	1	0	0	0
1	0	.4166667	0	0	.8148148	0	.3333333	1	1	.8333333	.8333333	.2	0	0	0	0	1
1	0	.5833333	0	0	.3778821							.125	0	1	0	0	0
1	0	.5833333	0	0	.7777778	.5	.75	1	.9166667	.75	.8333333	.3666667	0	0	1	0	0
1	0	1	0	0	0	.75	.4166667	.5	.8333333	.5	.3333333	.3333333	0	1	0	0	0
1	0	.6666667	0	0	.037037							.6111111	0	1	0	0	0
0	0	.5	0	0	.8888889	.25	.3333333	.8333333	.8333333	.9166667	.9166667	.5	0	0	0	1	0
0	1	.4166667	0	0	.7037037	.5	.6666667	.8333333	.6666667	.5833333	.75	.3	0	0	0	1	0
0	1		0	1	.8888889	.5	.6666667	.8333333	.6666667	.75	.8333333	.7	0	0	1	0	0
