countyid	pmccain	medinc	pcollege	punemp	passist	pblack	phisp	ginicnty	logodds
2571	.457	44806	.0814032	.0711817	.0227874	.0092385	.0190653	.4145	-.172426
2572	.448	53353	.120473	.0668435	.0169052	.0197741	.0696918	.4295	-.2087548
2573	.418	46073	.0816327	.0489167	.0288495	.0020481	.0156536	.3902	-.330989
2574	.483	40686	.0839299	.0998493	.0366251	.0060087	.012337	.4237	-.0680262
2575	.481	63395	.1247677	.0505208	.0118369	.002395	.0335508	.3719	-.0760366
2576	.446	50239	.089222	.076483	.0168324	.0149591	.0126999	.4055	-.2168457
2577	.45	42756	.0505993	.0600808	.0175906	.0033502	.0337617	.4088	-.2006707
2578	.417	57805	.0993477	.0578497	.016122	.0115965	.0251551	.3934	-.335101
2579	.355	40933	.0694718	.0615093	.0207811	.0172486	.0091316	.4193	-.5971326
2580	.258	61913	.1744466	.0537183	.0130953	.0483434	.0575	.44	-1.05639
2581	.537	53589	.0753936	.0708744	.0132199	.0269954	.0391034	.3817	.148271
2582	.407	48680	.1438354	.0659113	.0222878	.0065249	.0223354	.4169	-.3763812
2583	.326	44140	.0977391	.0689962	.0203954	.0109635	.012624	.4177	-.7263327
2584	.416	48342	.0967268	.0717048	.0215907	.0065142	.0146111	.3891	-.3392157
2585	.381	46826	.1239406	.0610361	.0150744	.0097078	.0188045	.452	-.4853058
2586	.563	43000	.0785746	.058745	.0125755	0	.0033201	.3847	.2533465
2587	.538	52717	.086087	.0671705	.0141311	.0096792	.0418743	.4078	.1522936
2588	.419	38176	.0586927	.0796376	.0256155	.0070982	.0145142	.4414	-.3268798
2589	.373	45022	.0720203	.0460573	.0113365	.0096577	.0126413	.3991	-.5193681
2590	.363	53933	.0909885	.0588859	.0209266	.0052656	.0258642	.4089	-.5623668
2591	.566	48937	.0772172	.0571317	.0155388	.0046624	.0367751	.4137	.2655495
2592	.32	55625	.1036116	.0486204	.0085611	.0034678	.0132369	.3802	-.7537718
2593	.384	44106	.071341	.0551197	.0197667	.0222113	.0253003	.411	-.4726044
2594	.489	55615	.0989941	.070666	.0111473	.00665	.0646517	.3898	-.0440071
2595	.446	45507	.0608429	.0845309	.0165539	.012191	.0246438	.4219	-.2168457
2596	.401	54846	.1048608	.0939732	.0295266	.0659165	.1137991	.4312	-.4013002
2597	.437	54783	.0690341	.0487673	.0175546	.0034444	.0212487	.3795	-.2533464
2598	.375	50510	.1153288	.0592562	.0174164	.0147797	.0153596	.4295	-.5108256
2599	.381	49850	.0809152	.0398298	.0152004	.0017279	.0279449	.3761	-.4853058
2600	.427	47426	.0666113	.0612258	.0246875	.0067096	.0116898	.3836	-.2941018
2601	.453	50181	.0871945	.074493	.0168097	.0071292	.0300874	.4016	-.1885566
2602	.447	54316	.0964398	.067461	.0132224	.004557	.0211438	.4084	-.2127994
2603	.458	41574	.0742156	.0847666	.0155563	.0030804	.0129185	.4255	-.1683968
2604	.466	45046	.0635291	.0946692	.0223925	.0049267	.0230131	.3932	-.1362102
2605	.128	32017	.0483341	.1810443	.0222068	.0091506	.0586579	.456	-1.918759
2606	.314	43397	.1122923	.1000966	.0286347	.2611576	.1290618	.4554	-.7814846
2607	.452	48306	.0769352	.0538967	.0130621	.0120647	.0362167	.3976	-.1925931
2608	.462	49396	.0691558	.0707809	.0226688	.0035825	.0131624	.4189	-.1522936
2609	.439	45184	.1055976	.0629572	.0189579	.0057468	.0114107	.431	-.2452215
2610	.433	57190	.1219355	.0556022	.0122774	.0096117	.0349412	.4017	-.2696216
2611	.603	75634	.1875493	.0547484	.009041	.0138315	.0227779	.4601	.4179808
2612	.429	48717	.0899746	.0634328	.010101	.0044053	.0106795	.4112	-.2859323
2613	.444	61443	.1081738	.0560279	.010762	.008476	.0152323	.3982	-.2249437
2614	.498	49527	.0901489	.078125	.0122796	.0029153	.0143732	.403	-.0080001
2615	.35	51887	.1145454	.0668573	.0176365	.0035697	.0262924	.4156	-.6190392
2616	.422	41458	.0834267	.0696537	.0228311	.0016111	.0163911	.4147	-.3145686
2617	.457	54356	.100462	.0872187	.0292596	.1058766	.1120141	.427	-.172426
2618	.39	44326	.0647597	.0546661	.0197071	.0025904	.0189043	.3847	-.4473123
2619	.346	50532	.0852998	.0951563	.0226313	.0469083	.073033	.4036	-.6366686
2620	.447	38821	.0789669	.0828034	.02651	.006558	.0110878	.4061	-.2127994
2621	.51	68513	.1537349	.0649923	.0146939	.008487	.0193767	.3987	.0400053
2622	.378	51121	.0934573	.0607932	.0125863	.0055606	.04016	.3974	-.4980459
2623	.462	39228	.1003612	.0913906	.0282552	.0018663	.0154124	.453	-.1522936
2624	.475	45587	.0679549	.0800315	.0133698	.0057803	.0216882	.4032	-.1000835
