postcasey	ideology	libvote	caseyprov	scmedian
0	.196	1	0	.1316511
0	.3185	1	0	.1316511
0	-.319	1	0	.1316511
0	-.422	1	0	.1316511
0	-.388	1	0	.1316511
0	.286	0	1	.1316511
0	-.147	0	1	.1316511
0	-.2345	0	1	.1316511
0	-.568	1	1	.1316511
0	.104	1	1	.1316511
0	-.466	1	1	.1316511
0	.543	0	0	.1316511
0	.51	0	0	.1316511
0	-.568	0	0	.1316511
0	.339	1	0	.1316511
0	.225	0	0	.1316511
0	-.15	1	0	.1316511
0	.51	1	0	.1212649
0	.535	1	0	.1212649
0	-.568	1	0	.1212649
0	.3185	0	0	.1212649
0	-.166	0	0	.1212649
0	.382	0	0	.1212649
0	.307	1	0	.1212649
0	-.568	1	0	.1212649
0	-.568	0	0	.1212649
0	-.053	1	1	.1212649
0	.4535	1	1	.1212649
0	.385	1	1	.1212649
0	.51	1	0	.1212649
0	-.053	1	0	.1212649
0	-.0255	1	0	.1212649
0	-.15	1	0	.1786246
0	.053	1	0	.1786246
0	.377	1	0	.1786246
0	-.014	1	1	.1786246
0	-.379	1	1	.1786246
0	-.249	0	1	.1786246
0	.286	0	0	.1786246
0	.37	1	0	.1786246
0	.385	1	0	.1786246
0	-.092	0	1	.1786246
0	-.304	0	1	.1786246
0	.37	0	1	.1786246
0	-.324	0	1	.1786246
0	-.147	0	1	.1786246
0	-.2345	0	1	.1786246
0	.286	0	1	.1786246
0	.4535	0	1	.1786246
0	-.147	0	1	.1786246
0	.385	0	1	.1786246
0	-.257	1	1	.1786246
0	.2275	1	1	.1786246
0	-.568	1	1	.1786246
0	.451	0	1	.2006977
0	.3185	1	1	.2006977
0	.382	1	1	.2006977
0	-.358	0	0	.2006977
0	-.147	0	0	.2006977
0	.37	0	0	.2006977
0	.3185	1	0	.2006977
0	-.012	1	0	.2006977
0	-.568	0	0	.2006977
0	.377	0	0	.2006977
0	.51	0	0	.2006977
0	-.568	0	0	.2006977
0	.053	0	0	.2006977
0	.341	0	0	.2006977
0	-.15	0	0	.2006977
0	.196	1	0	.1331726
0	.3185	1	0	.1331726
0	-.568	0	0	.1331726
0	.451	1	0	.1331726
0	-.012	1	0	.1331726
0	-.147	0	0	.1331726
0	.385	0	0	.1331726
0	-.297	0	0	.1331726
0	-.516	1	0	.1331726
0	.51	1	0	.1331726
0	-.254	0	0	.1331726
0	-.15	0	0	.1812628
0	.225	0	0	.1812628
0	-.15	0	0	.1812628
0	.488	0	0	.1812628
0	-.15	0	0	.1812628
0	.339	0	0	.1812628
0	-.372	0	0	.1812628
0	-.235	0	0	.1812628
0	-.257	0	0	.1812628
0	.0265	0	1	.1812628
0	-.358	0	1	.1812628
0	.135	0	1	.1812628
0	-.487	1	1	.1812628
0	-.013	1	1	.1812628
0	-.581	1	1	.1812628
0	.307	1	1	.1331726
0	-.422	0	1	.1331726
0	-.257	1	1	.1331726
0	.385	0	1	.1812628
0	-.546	0	1	.1812628
0	-.249	0	1	.1812628
0	-.1315	0	0	.0640498
0	.379	0	0	.0640498
0	-.2345	0	0	.0640498
0	-.085	1	0	.0640498
0	.161	1	0	.0640498
0	-.5875	1	0	.0640498
0	-.1315	1	1	.0640498
0	.379	1	1	.0640498
0	-.2345	1	1	.0640498
0	-.568	1	1	.0640498
0	-.372	1	1	.0640498
0	-.568	1	1	.0640498
0	-.5875	1	0	.0640498
0	.161	1	0	.0640498
0	-.085	1	0	.0640498
1	-.3315	0	1	.0640498
1	-.568	0	1	.0640498
1	-.54	0	1	.0640498
1	.543	1	0	.0640498
1	.104	1	0	.0640498
1	-.274	1	0	.0640498
1	-.546	0	1	.0640498
1	.385	0	1	.0640498
1	-.249	0	1	.0640498
1	.51	1	0	.0640498
1	.51	1	0	.0640498
1	.51	1	0	.0640498
1	-.54	0	1	.1006104
1	.104	0	1	.1006104
1	-.466	0	1	.1006104
1	-.568	0	1	.1006104
1	-.372	0	1	.1006104
1	.405	0	1	.1006104
1	-.053	0	1	.1117377
1	-.568	0	1	.1117377
1	-.0255	0	1	.1117377
1	-.147	0	1	.1117377
1	.37	0	1	.1117377
1	-.2345	0	1	.1117377
1	-.2405	1	0	.0872383
1	-.516	1	0	.0872383
1	-.4425	1	0	.0872383
1	.2825	1	0	.0872383
1	-.15	1	0	.0872383
1	-.15	1	0	.0872383
1	-.0255	0	0	.0872383
1	-.546	1	0	.0872383
1	-.568	1	0	.0872383
1	.52	1	1	.0872383
1	-.516	1	1	.0872383
1	.073	1	1	.0872383
1	-.147	1	1	.0872383
1	-.304	1	1	.0872383
1	.286	1	1	.0872383
1	-.304	1	1	.0872383
1	.286	1	1	.0872383
1	-.147	1	1	.0872383
1	-.166	1	0	.0872383
1	-.568	1	0	.0872383
1	-.466	1	0	.0872383
1	.307	1	0	.0602717
1	-.069	1	0	.0602717
1	.275	1	0	.0602717
1	-.417	0	1	.0602717
1	-.388	0	1	.0602717
1	.434	0	1	.0602717
1	-.417	0	1	.0602717
1	.434	0	1	.0602717
1	-.388	0	1	.0602717
1	.432	0	1	.0602717
1	-.319	0	1	.0602717
1	.104	0	1	.0602717
1	.432	1	0	.0602717
1	.161	1	0	.0602717
1	.161	1	0	.0602717
1	.073	1	0	.0602717
1	.52	1	0	.0602717
1	-.516	1	0	.0602717
1	.104	1	1	.0962659
1	.0985	1	1	.0962659
1	.1135	1	1	.0962659
1	-.249	1	1	.0962659
1	-.417	0	1	.0962659
1	.434	0	1	.0962659
1	-.406	0	1	.0962659
1	.275	0	1	.0962659
1	-.546	0	1	.0962659
1	-.568	0	1	.0962659
1	.307	1	0	.0962659
1	-.372	0	0	.0962659
1	.405	1	0	.0962659
1	.456	1	1	.0778621
1	-.254	1	1	.0778621
1	-.2405	1	1	.0778621
1	.379	1	0	.0778621
1	-.307	1	0	.0778621
1	-.2345	1	0	.0778621
1	.294	0	0	.0778621
1	.52	0	0	.0778621
1	-.254	0	0	.0778621
1	-.249	0	0	.0778621
1	-.388	0	0	.0778621
1	.434	0	0	.0778621
1	-.249	0	0	.0778621
1	-.417	0	1	.0778621
1	-.249	0	1	.0778621
1	.4	0	1	.0778621
1	.2715	0	1	.0778621
1	-.417	0	1	.0778621
1	.118	0	1	.0778621
1	-.546	0	1	.0778621
1	-.388	0	1	.0778621
1	-.2565	0	1	.0778621
1	.434	0	1	.0778621
1	-.014	1	0	.0778621
1	-.379	0	0	.0778621
1	-.546	1	0	.0778621
1	.379	0	0	.1074183
1	-.307	0	0	.1074183
1	-.2345	0	0	.1074183
1	-.568	0	1	.1074183
1	-.568	0	1	.1074183
1	.412	0	1	.1074183
1	-.085	1	1	.1074183
1	.353	1	1	.1074183
1	-.581	1	1	.1074183
1	-.568	1	0	.1074183
1	-.329	1	0	.1074183
1	.194	1	0	.1074183
1	-.147	1	0	.0872383
1	-.147	0	0	.0872383
1	.37	1	0	.0872383
1	-.147	0	0	.0872383
1	-.147	1	0	.0872383
1	.37	1	0	.0872383
1	-.249	0	1	.1074183
1	.375	0	1	.1074183
1	-.379	0	1	.1074183
1	.456	1	0	.1074183
1	-.274	0	0	.1074183
1	-.546	1	0	.1074183
1	-.546	1	0	.1074183
1	-.2345	1	0	.1074183
1	-.581	1	0	.1074183
1	-.546	1	0	.1074183
1	-.2345	1	0	.1074183
1	-.581	1	0	.1074183
1	-.546	1	0	.1074183
1	-.2345	1	0	.1074183
1	-.581	1	0	.1074183
1	.143	0	0	.1083447
1	-.546	0	0	.1083447
1	.399	0	0	.1083447
1	.398	1	0	.1083447
1	-.568	1	0	.1083447
1	-.546	1	0	.1083447
1	-.249	1	0	.1083447
1	-.388	1	0	.1083447
1	.434	1	0	.1083447
1	-.417	0	0	.1083447
1	-.581	0	0	.1083447
1	-.546	0	0	.1083447
1	.307	1	0	.0276953
1	.405	1	0	.0276953
1	.456	1	0	.0276953
1	.307	1	0	.0276953
1	.405	1	0	.0276953
1	.456	1	0	.0276953
1	.432	1	0	.0276953
1	-.568	1	0	.0276953
1	.456	1	0	.0276953
1	-.54	0	0	.0276953
1	.456	0	0	.0276953
1	-.274	0	0	.0276953
1	.0985	0	0	.0276953
1	-.568	0	0	.0276953
1	-.358	0	0	.0276953
1	.104	0	0	.0276953
1	-.54	0	0	.0276953
1	-.466	0	0	.0276953
1	-.54	0	0	.0276953
1	-.466	0	0	.0276953
1	-.546	0	0	.0276953
1	-.3315	0	0	.0276953
1	.456	0	0	.0276953
1	-.54	1	0	.0276953
1	.0985	1	0	.0276953
1	-.546	1	0	.0276953
1	.4365	1	0	.0276953
1	-.546	1	0	.0276953
1	-.014	1	0	.0276953
1	-.379	1	0	.0276953
1	-.014	1	0	.0276953
1	-.249	1	0	.0276953
1	-.379	1	0	.0276953
1	.357	1	0	.0276953
1	.4	1	0	.0276953
1	-.568	1	0	.0276953
1	-.379	1	0	.0276953
1	-.249	1	0	.0276953
1	-.014	1	0	.0276953
1	.4	1	0	.0276953
1	.4365	1	0	.0276953
1	-.014	1	0	.0276953
1	-.568	1	0	.0276953
1	.357	1	0	.0276953
1	-.379	1	0	.0276953
1	-.546	1	0	.0276953
1	-.254	0	1	-.0234522
1	.456	1	1	-.0234522
1	.456	1	1	-.0234522
1	.184	0	1	-.0234522
1	.543	0	1	-.0234522
1	-.546	0	1	-.0234522
1	.341	0	0	-.0234522
1	.341	0	0	-.0234522
1	-.15	0	0	-.0234522
1	-.249	0	1	-.0234522
1	.4	0	1	-.0234522
1	-.568	0	1	-.0234522
1	.432	0	1	-.0234522
1	.385	0	1	-.0234522
1	.343	0	1	-.0234522
1	-.568	0	0	-.0468995
1	.432	0	0	-.0468995
1	-.546	0	0	-.0468995
1	-.014	1	1	-.0554263
1	-.379	0	1	-.0554263
1	.357	1	1	-.0554263
1	-.466	0	0	-.0554263
1	.0985	0	0	-.0554263
1	-.392	0	0	-.0554263
1	.353	1	1	-.0554263
1	.353	1	1	-.0554263
1	.161	1	1	-.0554263
1	-.332	0	0	-.0554263
1	-.546	0	0	-.0554263
1	-.47	0	0	-.0554263
1	.3	1	1	-.0554263
1	.161	1	1	-.0554263
1	.2395	1	1	-.0554263
1	.161	1	1	-.0554263
1	.353	1	1	-.0554263
1	.353	1	1	-.0554263
1	-.516	0	1	-.0554263
1	-.3915	0	1	-.0554263
1	.456	0	1	-.0554263
1	-.546	1	1	-.0554263
1	-.568	1	1	-.0554263
1	.432	1	1	-.0554263
1	-.466	0	0	-.0692779
1	-.47	0	0	-.0692779
1	-.358	0	0	-.0692779
1	-.546	0	0	-.0692779
1	.4	1	0	-.0692779
1	.2715	1	0	-.0692779
1	.245	1	0	-.0692779
1	-.304	1	0	-.0692779
1	-.1315	1	0	-.0692779
1	.456	0	1	-.0692779
1	-.3915	0	1	-.0692779
1	-.516	0	1	-.0692779
1	.343	0	0	-.0692779
1	.2395	0	0	-.0692779
1	.161	0	0	-.0692779
1	-.1315	0	1	-.0692779
1	.245	0	1	-.0692779
1	-.304	0	1	-.0692779
1	-.1315	1	0	-.0692779
1	.245	1	0	-.0692779
1	-.304	1	0	-.0692779
