age	male	unemp	black	hisp	educ2	educ3	educ4	educ5	educ6	income	union	pid	south	inctax	follow	agesq
36	0	0	1	0	0	0	0	1	0	5	0	2	1	51	2	1296
41	0	0	0	0	1	0	0	0	0	10	1	2	1	51	3	1681
65	0	0	0	0	0	1	0	0	0	9	0	2	1	35	3	4225
59	0	0	0	0	0	0	0	1	0	12	0	7	1	51	3	3481
42	1	0	0	0	0	1	0	0	0	11	0	7	1	47	3	1764
58	1	0	0	0	0	1	0	0	0	6	0	2	1	16	2	3364
75	0	0	0	0	1	0	0	0	0	6	0	2	1	6	2	5625
60	0	0	0	0	0	0	0	1	0	9	0	4	1	76	2	3600
73	0	0	0	0	0	1	0	0	0	8	0	5	1	48	3	5329
49	0	0	0	0	0	0	0	1	0	9	0	5	1	20	2	2401
43	0	0	0	0	0	0	0	1	0	11	0	3	1	26	0	1849
38	0	0	0	0	0	0	0	1	0	1	0	6	1	34	0	1444
38	1	1	0	0	0	1	0	0	0	9	0	7	1	24	1	1444
56	1	0	0	0	0	1	0	0	0	3	0	7	1	32	3	3136
69	1	0	0	0	0	1	0	0	0	11	0	5	1	60	3	4761
59	0	0	0	0	0	0	1	0	0	10	0	7	1	1	3	3481
67	1	0	0	0	0	0	0	1	0	10	0	7	1	93	3	4489
78	1	0	0	0	0	0	0	0	1	8	0	7	1	79	3	6084
70	1	0	0	0	0	0	0	1	0	10	0	7	1	51	3	4900
35	0	0	0	0	0	0	1	0	0	11	0	7	1	29	0	1225
47	0	0	1	0	0	0	1	0	0	8	1	2	1	86	1	2209
61	1	0	0	0	0	0	1	0	0	5	0	7	1	41	3	3721
57	1	0	0	0	0	0	0	1	0	7	0	1	1	95	3	3249
62	0	0	0	0	0	1	0	0	0	5	0	1	1	51	3	3844
39	0	1	1	0	0	0	0	1	0	3	0	2	1	22	2	1521
51	1	0	0	0	0	0	0	0	1	12	0	4	1	51	3	2601
31	0	1	0	0	1	0	0	0	0	3	0	7	1	14	0	961
25	0	0	0	0	0	0	0	1	0	11	0	4	1	100	3	625
53	0	0	1	0	0	0	1	0	0	6	0	1	1	26	2	2809
39	1	0	0	0	0	1	0	0	0	7	0	5	1	50	3	1521
45	1	0	0	0	0	1	0	0	0	8	0	5	1	62	3	2025
64	1	0	1	0	0	0	0	1	0	7	0	2	1	51	3	4096
24	0	0	0	0	0	0	0	1	0	10	1	7	1	26	2	576
62	1	0	0	0	0	0	0	1	0	13	0	5	1	51	3	3844
68	0	0	0	0	0	1	0	0	0	7	0	7	1	26	3	4624
24	1	0	1	0	0	0	0	1	0	10	0	1	1	3	2	576
79	1	0	0	0	0	0	0	0	1	9	0	6	1	1	3	6241
60	0	0	1	0	0	0	0	1	0	11	0	1	1	100	3	3600
20	0	0	0	0	0	1	0	0	0	1	0	2	1	51	2	400
34	0	0	1	0	0	0	0	0	1	11	0	1	1	50	2	1156
31	0	0	1	0	0	0	0	1	0	8	1	4	1	48	3	961
36	0	0	1	0	1	0	0	0	0	7	0	1	1	60	0	1296
63	1	0	0	0	1	0	0	0	0	6	0	7	1	57	3	3969
54	1	0	1	0	0	0	0	0	1	13	0	2	1	76	3	2916
60	0	0	1	0	0	0	1	0	0	6	0	1	1	51	1	3600
28	0	0	0	0	1	0	0	0	0	6	0	4	1	51	1	784
42	0	0	1	0	0	1	0	0	0	6	0	1	1	66	2	1764
60	0	1	0	0	1	0	0	0	0	8	0	5	1	51	3	3600
37	0	0	0	0	1	0	0	0	0	1	0	6	1	6	1	1369
18	0	0	0	0	0	1	0	0	0	6	0	6	1	73	2	324
31	0	0	0	0	0	0	0	0	1	11	0	3	1	54	1	961
49	0	0	0	0	0	0	0	1	0	5	0	7	1	38	3	2401
41	0	0	0	0	0	1	0	0	0	11	0	4	1	50	3	1681
60	0	0	1	0	0	0	0	1	0	13	0	1	1	51	2	3600
42	0	0	1	0	0	0	0	1	0	6	0	1	1	50	2	1764
76	1	0	0	0	0	0	0	0	1	8	0	1	1	100	3	5776
54	1	0	0	0	0	0	0	0	1	10	0	1	1	89	3	2916
68	0	0	1	0	0	1	0	0	0	8	0	4	1	52	3	4624
39	1	0	0	0	0	0	0	1	0	11	0	2	1	76	3	1521
29	0	0	0	0	0	0	0	1	0	4	0	7	1	2	0	841
37	1	0	1	0	0	0	0	0	1	13	0	2	1	37	2	1369
62	1	0	1	0	0	0	0	1	0	9	0	1	1	76	3	3844
36	0	0	1	0	0	0	0	0	1	8	0	1	1	44	1	1296
25	0	0	1	0	0	0	0	1	0	8	0	1	1	23	3	625
64	1	0	0	0	0	0	0	0	1	10	0	7	1	69	3	4096
31	0	0	1	0	0	1	0	0	0	7	0	1	1	84	1	961
61	1	0	1	0	0	0	0	0	1	12	0	4	1	82	3	3721
29	1	0	1	0	0	0	0	1	0	10	0	2	1	51	1	841
45	0	1	0	0	0	0	1	0	0	1	0	4	1	66	0	2025
59	0	0	1	0	0	1	0	0	0	6	0	1	1	30	2	3481
38	0	1	1	0	1	0	0	0	0	2	0	4	1	52	1	1444
76	1	0	0	0	0	0	1	0	0	6	0	7	1	0	3	5776
64	1	0	1	0	0	0	0	1	0	7	0	2	1	51	2	4096
30	0	0	0	0	0	1	0	0	0	2	0	3	1	50	1	900
34	0	0	1	0	0	0	0	1	0	12	0	1	1	31	1	1156
52	1	0	0	0	0	0	0	0	1	11	0	7	1	4	3	2704
76	1	0	0	0	1	0	0	0	0	5	0	7	1	51	3	5776
26	0	0	0	0	0	0	0	1	0	6	0	5	1	46	2	676
58	0	0	1	0	0	1	0	0	0	3	0	1	1	33	3	3364
55	0	0	0	0	0	0	1	0	0	2	0	5	1	76	2	3025
48	0	1	1	0	0	0	0	1	0	5	0	5	1	82	3	2304
44	0	0	0	0	0	0	0	0	1	14	0	7	1	47	3	1936
24	0	0	0	0	0	1	0	0	0	9	0	2	1	57	3	576
36	0	1	0	0	1	0	0	0	0	3	0	3	1	0	2	1296
68	1	0	0	0	0	0	0	1	0	14	0	5	1	33	3	4624
81	1	0	0	0	0	0	0	1	0	12	0	7	1	38	3	6561
49	0	1	1	0	0	0	0	0	1	12	0	4	1	25	3	2401
53	1	1	1	0	0	0	0	1	0	7	0	1	1	49	3	2809
25	0	0	0	0	0	1	0	0	0	2	0	2	1	61	2	625
48	1	0	1	0	0	0	0	0	1	11	0	4	1	50	3	2304
29	0	0	0	0	0	0	0	0	1	13	0	1	1	16	3	841
39	0	1	1	0	0	0	0	1	0	4	0	2	1	7	2	1521
62	1	0	0	0	0	0	0	0	1	13	0	5	1	50	3	3844
63	1	0	0	0	0	0	0	1	0	14	0	1	1	98	3	3969
70	1	0	0	0	0	0	0	0	1	2	0	5	1	28	3	4900
55	0	0	0	0	0	0	0	1	0	14	0	5	1	50	3	3025
61	0	0	0	0	1	0	0	0	0	3	0	1	1	18	3	3721
28	0	0	0	0	0	0	0	1	0	12	0	2	1	13	1	784
78	0	0	0	0	0	1	0	0	0	7	0	6	1	4	3	6084
64	1	0	0	0	1	0	0	0	0	6	0	7	1	19	3	4096
