"","ctylabel","date","newtar","fdignp","gdp_pc_95d","polityiv_update2","usheg","lnpop"
"1","Turkey",1970,38.1184872969861,0.320958536853215,1633.10913085938,8,0.27561292052269,17.3799877166748
"2","Turkey",1971,47.5989357429994,0.257689100860228,1680.92553710938,-2,0.267898082733154,17.4056129455566
"3","Turkey",1972,44.9221368418787,0.195489269144662,1763.10961914062,-2,0.267186164855957,17.4315452575684
"4","Turkey",1973,32.5917087827609,0.279036760123231,1766.71569824219,9,0.257417380809784,17.4572200775146
"5","Turkey",1974,35.4374043494354,0.165773575893583,1805.45568847656,9,0.255622565746307,17.4818344116211
"6","Turkey",1975,35.6128761775118,0.238295813971249,1897.93188476562,9,0.24888813495636,17.5050144195557
"7","Turkey",1976,32.8014845344258,0.0184928330418981,2059.96264648438,9,0.256521612405777,17.5269165039062
"8","Turkey",1977,33.58321160638,0.0438569670256236,2087.64086914062,9,0.255827814340591,17.5474491119385
"9","Turkey",1978,31.0148791228424,0.0501582025112996,2076.6689453125,9,0.259173780679703,17.5674934387207
"10","Turkey",1979,28.4237352526168,0.0810275117800571,2019.75415039062,9,0.249924808740616,17.5883255004883
"11","Turkey",1980,39.695406465688,0.0258095686716997,1958.61242675781,-5,0.243417471647263,17.6106395721436
"12","Turkey",1981,37.6855555818612,0.131698124700684,2001.05517578125,-5,0.259311199188232,17.63427734375
"13","Turkey",1982,38.9125478903898,0.0842492792428207,2021.96850585938,-5,0.255800783634186,17.6591682434082
"14","Turkey",1983,40,0.0744349081966911,2070.76245117188,7,0.26550218462944,17.6840629577637
"15","Turkey",1984,22,0.186915032830521,2146.58520507812,7,0.29880091547966,17.7089424133301
"16","Turkey",1985,24.7000007629395,0.146183449724041,2196.53100585938,7,0.295243144035339,17.7332363128662
"17","Turkey",1986,31.3999996185303,0.164724334861922,2308.45825195312,7,0.288656324148178,17.7559261322021
"18","Turkey",1987,26.6000003814697,0.131265384175184,2473.48779296875,7,0.273409217596054,17.7776374816895
"19","Turkey",1988,22.7000007629395,0.390173862023129,2471.70849609375,7,0.275646895170212,17.799352645874
"20","Turkey",1989,20.0142399027717,0.610754863373582,2422.205078125,9,0.278538733720779,17.8210601806641
"21","Turkey",1990,24.657172152678,0.449114668857373,2589.09106445312,9,0.26083317399025,17.8431091308594
"22","Turkey",1991,21.274883708775,0.532886163993872,2571.515625,9,0.258987247943878,17.8596839904785
"23","Turkey",1992,11.9025935882117,0.52175016294035,2679.53393554688,9,0.262301683425903,17.8747634887695
"24","Turkey",1993,26.7000007629395,0.350184132966259,2859.01953125,8,0.281292796134949,17.889856338501
"25","Turkey",1994,17.2785154742133,0.466417294908833,2654.08227539062,8,0.278358489274979,17.9049434661865
"26","Turkey",1995,16.2446495374555,0.514321272078391,2810.68798828125,8,0.262719452381134,17.9181537628174
"27","Turkey",1996,9.73356331360149,0.391932512919555,2955.3349609375,8,0.26816999912262,17.9333267211914
"28","Turkey",1997,13.5,0.414201414489635,3127.65014648438,7,0.284403562545776,17.9492511749268
"29","Turkey",1998,12.6999998092651,0.456010275980058,3175.40795898438,7,0.295667797327042,17.9645481109619
"30","Turkey",1999,8.19999980926514,0.417731289981334,2964.64208984375,7,0.308314651250839,17.9803905487061
"61","SouthAfrica",1970,27.8486174364756,-0.169438009798746,4100.05859375,4,0.27561292052269,16.9104995727539
"62","SouthAfrica",1971,17.1147567264964,1.62054643462198,4225.56103515625,4,0.267898082733154,16.9335651397705
"63","SouthAfrica",1972,21.1171269398993,1.14722259630476,4086.5224609375,4,0.267186164855957,16.9564800262451
"64","SouthAfrica",1973,14.6035552504201,0.895485687004378,4292.59814453125,4,0.257417380809784,16.9791240692139
"65","SouthAfrica",1974,13.6113291048969,1.63278016101892,4617.69873046875,4,0.255622565746307,17.001443862915
"66","SouthAfrica",1975,12.447197603553,0.855503262288163,4574.03125,4,0.24888813495636,17.0234470367432
"67","SouthAfrica",1976,19.3679512610581,-0.160663001136326,4474.2783203125,4,0.256521612405777,17.0450534820557
"68","SouthAfrica",1977,17.8650190684428,1.23149557344429,4258.92724609375,4,0.255827814340591,17.0661010742188
"69","SouthAfrica",1978,16.0316260291803,0.902305668588931,4277.98583984375,4,0.259173780679703,17.0871810913086
"70","SouthAfrica",1979,22.1912930698747,0.907562177501881,4331.39013671875,4,0.249924808740616,17.10915184021
"71","SouthAfrica",1980,12.4574053227273,1.59612130599111,4620.32666015625,4,0.243417471647263,17.1324558258057
"72","SouthAfrica",1981,11.9262128620548,1.13354002198454,4868.02783203125,4,0.259311199188232,17.1567687988281
"73","SouthAfrica",1982,10.1638722428438,0.872466802021476,4618.40478515625,4,0.255800783634186,17.1818351745605
"74","SouthAfrica",1983,11.6540499564918,1.56566095909148,4346.4794921875,4,0.26550218462944,17.2074661254883
"75","SouthAfrica",1984,29,0.834708849131506,4521.052734375,4,0.29880091547966,17.2334136962891
"76","SouthAfrica",1985,12.6126976941266,0.536782414466468,4229.08447265625,4,0.295243144035339,17.2593803405762
"77","SouthAfrica",1986,15.9340798736338,0.701379736358321,4134.9169921875,4,0.288656324148178,17.2850303649902
"78","SouthAfrica",1987,22,1.06825167904411,4145.46533203125,4,0.273409217596054,17.3099880218506
"79","SouthAfrica",1988,12.6999998092651,0.234958199281823,4204.9658203125,4,0.275646895170212,17.333854675293
"80","SouthAfrica",1989,11.1300809914359,0.939734553873399,4210.54833984375,4,0.278538733720779,17.3561954498291
"81","SouthAfrica",1990,11,0.680800604382045,4112.56640625,5,0.26083317399025,17.3765563964844
"82","SouthAfrica",1991,10.5,1.09067254992188,3987.64306640625,5,0.258987247943878,17.3971691131592
"83","SouthAfrica",1992,9.89999961853027,1.91028210624038,3821.84130859375,4.82079147500379,0.262301683425903,17.4180355072021
"84","SouthAfrica",1993,10,0.200293692594111,3788.138671875,9.02195828115237,0.281292796134949,17.439151763916
"85","SouthAfrica",1994,9.69999980926514,0.280452608983517,3827.96118164062,9,0.278358489274979,17.460521697998
"86","SouthAfrica",1995,6.19999980926514,0.841888695482638,3862.80346679688,9,0.262719452381134,17.4821453094482
"87","SouthAfrica",1996,8.80000019073486,0.579842806370639,3943.3310546875,9,0.26816999912262,17.5021877288818
"88","SouthAfrica",1997,8.69999980926514,2.62545932561003,3967.48266601562,9,0.284403562545776,17.5210094451904
"89","SouthAfrica",1998,7.19999980926514,0.420023754740062,3921.78344726562,9,0.295667797327042,17.5388488769531
"90","SouthAfrica",1999,8.5,1.07269615758999,3903.66650390625,9,0.308314651250839,17.5557060241699
"2071","Indonesia",1970,38.655831260056,0.8558586870546,298.110229492188,-7,0.27561292052269,18.5822639465332
